"Time","tech stocks"," AI"," inflation"," interest rates"," gas price"
"2021-01-01",0,3,2,1,1
"2021-02-01",0,3,2,2,1
"2021-03-01",0,3,2,2,1
"2021-04-01",0,3,2,2,1
"2021-05-01",0,3,3,1,2
"2021-06-01",0,4,2,1,1
"2021-07-01",0,3,2,1,1
"2021-08-01",0,3,2,1,1
"2021-09-01",0,3,2,1,1
"2021-10-01",0,3,2,1,2
"2021-11-01",0,4,3,1,2
"2021-12-01",0,4,3,1,1
"2022-01-01",0,4,3,2,1
"2022-02-01",0,4,4,2,2
"2022-03-01",0,4,4,3,7
"2022-04-01",0,4,4,3,2
"2022-05-01",0,4,5,3,4
"2022-06-01",0,6,5,4,5
"2022-07-01",0,5,4,3,4
"2022-08-01",0,6,6,2,3
"2022-09-01",0,6,4,3,2
"2022-10-01",0,7,5,3,2
"2022-11-01",0,7,4,3,2
"2022-12-01",0,14,3,2,2
"2023-01-01",0,12,3,3,2
"2023-02-01",0,17,3,3,2
"2023-03-01",0,19,3,4,2
"2023-04-01",0,29,3,3,2
"2023-05-01",0,29,3,3,2
"2023-06-01",0,27,3,3,2
"2023-07-01",0,25,3,3,2
"2023-08-01",0,24,3,3,2
"2023-09-01",0,26,3,3,2
"2023-10-01",0,31,3,3,2
"2023-11-01",0,32,3,3,2
"2023-12-01",0,29,3,3,2
"2024-01-01",0,32,3,3,1
"2024-02-01",0,36,3,3,1
"2024-03-01",0,35,3,3,1
"2024-04-01",0,36,4,3,2
"2024-05-01",0,39,3,3,2
"2024-06-01",0,40,3,2,1
"2024-07-01",0,33,3,2,1
"2024-08-01",0,36,3,3,1
"2024-09-01",0,43,3,4,1
"2024-10-01",0,47,3,2,1
"2024-11-01",0,49,3,3,1
"2024-12-01",0,50,3,3,1
"2025-01-01",0,51,3,3,1
"2025-02-01",0,59,3,3,1
"2025-03-01",0,61,3,3,1
"2025-04-01",0,64,3,3,2
"2025-05-01",0,61,3,2,2
"2025-06-01",0,70,2,2,2
"2025-07-01",0,87,4,3,2
"2025-08-01",0,75,3,3,2
"2025-09-01",0,85,3,4,1
"2025-10-01",0,90,3,3,1
"2025-11-01",0,90,4,3,2
"2025-12-01",0,88,4,3,2
"2026-01-01",0,91,4,3,2
"2026-02-01",0,100,4,3,2
